facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"FMC - MANISTEE",232589,-,"1293 E PARKDALE AVE",MANISTEE,MI,49660,11,14.81%,60.05%,5,100.00%,0.63%,"No Rate",2,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.421,"No Rate",7,0.862,10,10,66,0.00%
"FMC - MANSFIELD KIDNEY CENTER",362508,-,"647 BALLY ROW",MANSFIELD,OH,44906,9,9.57%,67.54%,7,99.01%,0.17%,0.179,10,73.70%,58.56%,78.54%,74.24%,64.29%,64.50%,10,0.481,0.192,9,0.672,10,5,82,0.00%
"FMC - MAPLE GROVE DIALYSIS",242579,-,"7365 KIRKWOOD CT N, STE 135","MAPLE GROVE",MN,55369,11,5.89%,72.19%,9,97.54%,0.37%,0.739,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.909,2.188,3,1.062,10,3,56,0.00%
"FMC Maplewood Dialysis Center",312586,-,"2130 MILBURN AVENUE SUITE B1",MAPLEWOOD,NJ,07040,3,14.84%,53.48%,2,95.87%,0.53%,0.385,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.2,1.762,3,1.105,10,2,38,1.00%
"FMC - MAPLEWOOD HEIGHTS",242570,-,"1725 LEGACY PKWY E STE 200",MAPLEWOOD,MN,55109,11,7.12%,79.27%,9,96.46%,0.00%,0.295,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.093,0.719,0,1.275,10,5,58,0.00%
"FMC - Maquoketa",162543,-,"700 W GROVE ST",MAQUOKETA,IA,52060,12,15.18%,69.97%,5,98.32%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate",9,0.713,10,8,85,0.00%
"FMC MARION",422545,-,"109 MERRITT CT",MARION,SC,29571,6,13.02%,47.38%,3,97.45%,1.43%,0.113,10,53.39%,61.34%,74.47%,44.91%,43.10%,48.88%,4,1.023,1.347,4,1.009,10,2,44,1.00%
"FMC - MARQUETTE PARK",142566,-,"6535 SOUTH WESTERN AVE.",CHICAGO,IL,60636,10,9.98%,48.60%,4,94.09%,0.11%,0.184,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.832,0.596,5,0.967,10,0,59,0.00%
"FMC - Mason City",162562,-,"910 N EISENHOWER AVE","MASON CITY",IA,50401,12,18.53%,69.76%,6,98.18%,0.00%,0.499,10,77.56%,64.59%,84.12%,76.62%,62.96%,69.34%,2,1.163,1.187,6,0.872,10,7,61,0.00%
"FMC - MASONIC HOME DIALYSIS",182610,-,"3501 MOYERS CIRCLE SUITE 200","MASONIC HOME",KY,40041,9,18.38%,67.44%,4,98.68%,0.00%,0.2,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.679,0.403,6,0.889,10,7,77,0.00%
"FMC - MASSILLON DIALYSIS CENTER",362670,-,"2474 LINCOLN WAY EAST",MASSILLON,OH,44646,9,14.75%,64.51%,4,98.49%,1.08%,0.876,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.803,0.503,2,1.176,10,5,59,0.00%
"FMC Mayaguez Dialysis Center",402503,-,"1050 AVENUE LOS CORAZONES - SUITE 101",MAYAGUEZ,PR,00680,3,17.14%,42.41%,1,97.95%,2.30%,0.424,10,73.74%,72.59%,86.27%,63.81%,76.82%,78.58%,0,1.38,2.031,2,1.154,10,0,38,1.00%
"FMC Mayaguez No",402525,-,"#5320 ROAD 64 KM 4.8 BO. SABANETAS",MAYAGUEZ,PR,00682,3,15.30%,49.58%,2,97.17%,0.95%,0,10,55.16%,54.68%,82.96%,57.01%,60.09%,71.11%,3,1.108,1.295,2,1.125,10,4,46,0.50%
"FMC MAYWOOD PARK",382561,-,"11909 NE GLENN WIDING DR",PORTLAND,OR,97220,16,8.06%,64.84%,7,97.14%,0.25%,0.163,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.81,0.837,6,0.897,10,0,69,0.00%
"FMC MCKINLEYVILLE",552658,-,"1550 HEARTWOOD DRIVE",MCKINLEYVILLE,CA,95519,17,7.51%,77.74%,9,98.77%,1.33%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.839,0.679,10,0.323,10,9,86,0.00%
"FMC - MCLEAN COUNTY",142563,-,"1505 EASTLAND MEDICAL PLAZA",BLOOMINGTON,IL,61701,10,12.10%,64.44%,5,95.60%,0.00%,0.581,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.33,0.56,3,1.092,10,7,51,0.50%
"FMC MEADOWLAKE DIALYSIS",422572,-,"7631 WILSON BLVD",COLUMBIA,SC,29203,6,7.05%,45.84%,4,96.54%,0.89%,0,10,60.92%,49.70%,71.40%,53.98%,49.23%,55.80%,2,1.129,1.823,4,1.035,10,2,41,1.00%
"FMC-Meadows Field",552623,-,"3101 PEGASUS DRIVE, SUITE 100",Bakersfield,CA,93308,18,20.00%,60.56%,2,96.39%,0.09%,0.128,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.104,0.948,3,1.089,10,4,51,0.50%
"FMC - MEDINA COUNTY KIDNEY CENTER",362581,-,"3995 MEDINA ROAD #150",MEDINA,OH,44256,9,19.57%,63.23%,3,97.64%,0.66%,0.292,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.187,0.447,0,1.329,10,2,48,0.50%
"FMC MEMPHIS",442569,-,"1428 MONROE AVENUE",MEMPHIS,TN,38104,8,14.22%,64.86%,5,97.23%,0.22%,0.674,10,67.44%,62.61%,76.25%,52.09%,52.04%,65.42%,0,1.285,0.654,0,1.357,10,0,39,1.00%
"FMC MEMPHIS GERMANTOWN",442647,-,"7640 WOLF RIVER CIRCLE",GERMANTOWN,TN,38138,8,10.11%,77.35%,8,97.86%,0.95%,0.183,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.465,0,4,1.006,10,4,62,0.00%
"FMC MEMPHIS MIDTOWN",442610,-,"2225 UNION AVENUE - SUITE 200",MEMPHIS,TN,38104,8,17.18%,65.64%,4,97.38%,0.53%,0.597,10,63.10%,63.88%,81.00%,60.40%,73.70%,79.09%,3,1.093,0.51,5,0.944,10,3,57,0.00%
"FMC - MENTOR DIALYSIS",362797,-,"8840 TYLER BLVD",MENTOR,OH,44060,9,13.13%,78.46%,7,97.51%,0.37%,0.965,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.884,0,4,1.055,10,5,67,0.00%
"FMC - MERCER COUNTY",512516,-,"160 SPRINGHAVEN DR",PRINCETON,WV,24740,5,16.48%,67.96%,5,99.23%,0.23%,0.273,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.149,2.155,0,1.399,10,7,50,0.50%
"FMC - Mercy",162532,-,"95 UNIVERSITY STE. 11","DES MOINES",IA,50314,12,23.42%,60.68%,2,94.53%,0.65%,0.337,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.541,0.959,4,1.045,10,0,40,1.00%
"FMC - MERRILLVILLE DIALYSIS CENTER",152541,-,"550 WEST 84TH DRIVE",Merrillville,IN,46410,9,17.40%,59.01%,3,97.35%,0.00%,0.725,10,61.39%,57.69%,83.03%,50.05%,59.56%,67.76%,0,1.366,1.371,3,1.077,10,5,41,1.00%
"FMC - MERRIONETTE PARK",142667,-,"11630 SOUTH KEDZIE","MERRIONETTE PARK",IL,60803,10,12.79%,46.56%,3,97.55%,1.20%,0,10,67.71%,63.08%,70.94%,63.33%,58.03%,67.39%,4,1.026,0,6,0.903,10,0,58,0.00%
"FMC MEYERLAND",452862,-,"4740 W BELLFORT ST STE A",HOUSTON,TX,77035,14,22.11%,60.89%,2,99.35%,0.21%,0,10,66.23%,59.50%,76.50%,56.31%,53.61%,72.45%,0,1.427,0.652,5,0.968,10,5,52,0.50%
"FMC-MIAMI SHORES, LLC",102800,-,"9999 NE 2ND AVE - SUITE 119","MIAMI SHORES",FL,33138,7,20.70%,72.01%,4,97.68%,0.14%,0.75,10,72.62%,62.68%,85.32%,60.40%,63.87%,62.81%,4,1.009,1.538,1,1.266,10,1,42,1.00%
"FMC - MIDAMERICA EVANSTON",142621,-,"2953 CENTRAL ST 1ST FLOOR",EVANSTON,IL,60201,10,21.14%,61.03%,3,98.15%,0.00%,0.734,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.286,0.228,2,1.167,10,2,53,0.50%
"FMC MIDFIELD DIALYSIS",012624,-,"613 BESSEMER SUPER HIGHWAY",BIRMINGHAM,AL,35228,8,6.49%,40.97%,5,97.45%,0.50%,0.767,10,80.41%,61.57%,84.06%,78.10%,53.19%,70.50%,2,1.197,2.222,0,1.291,10,4,43,1.00%
"FMC - MIDWAY DIALYSIS",142713,-,"6201 W. 63RD STREET",CHICAGO,IL,60638,10,15.00%,67.06%,5,97.23%,2.57%,0.264,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.887,0.931,0,1.272,10,0,50,0.50%
"FMC Midwest Dialysis",162525,-,"4000 INDIAN HILLS DR","SIOUX CITY",IA,51108,12,12.81%,66.39%,6,96.19%,0.00%,0,10,68.72%,67.26%,82.56%,53.92%,60.09%,70.59%,8,0.724,0.237,10,0.633,10,5,76,0.00%
"FMC - MIDWEST - KEWANEE",142578,-,"230 WEST SOUTH ST.",KEWANEE,IL,61443,10,11.82%,58.42%,4,96.93%,0.00%,0.97,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.485,0.936,8,0.768,10,7,72,0.00%
"FMC-Milford LLC",362858,-,"5890 MEADOW CREEK DRIVE",MILFORD,OH,45150,9,30.75%,51.23%,0,94.40%,0.00%,0.504,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.909,0.444,3,1.087,10,8,55,0.50%
"FMC MILLINGTON",442693,-,"7840 CHURCH STREET",MILLINGTON,TN,38053,8,19.13%,64.52%,3,99.42%,1.26%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.221,0.267,3,1.065,10,9,61,0.00%
"FMC - MILTON",102719,-,"5934 BERRY HILL ROAD #2",MILTON,FL,32570,7,16.59%,66.57%,4,97.13%,0.98%,0.144,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.236,0.502,3,1.09,10,2,53,0.50%
"FMC MILTON FREEWATER",382562,-,"1213 S MAIN ST","MILTON FREEWATER",OR,97862,16,2.40%,88.39%,10,99.07%,0.00%,0.758,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.466,0,10,0.472,10,9,93,0.00%
"FMC-Mission Hills",052633,-,"11550 INDIAN HILLS ROAD, SUITE 100","Mission Hills",CA,91345,18,17.56%,68.80%,5,96.47%,0.91%,0.513,10,59.23%,58.78%,70.34%,55.73%,61.15%,63.54%,3,1.062,0.173,3,1.089,10,1,50,0.50%
"FMC-Mission Viejo",552595,-,"23681 VIA LINDA, SUITE E","MISSION VIEJO",CA,92691,18,8.50%,76.00%,9,96.70%,0.58%,0.379,10,62.08%,67.13%,82.28%,49.78%,75.13%,83.24%,7,0.795,0.984,0,1.415,10,8,61,0.00%
"FMC - Mississippi County",262674,-,"2402 S MAIN ST",CHARLESTON,MO,63834,12,8.17%,55.17%,5,98.67%,0.00%,0.989,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.858,0.698,8,0.736,10,9,70,0.00%
"FMC MISSOULA",272507,-,"3100 GREAT NORTHERN AVE",MISSOULA,MT,59808,16,17.22%,67.04%,4,97.47%,0.56%,0.101,10,59.51%,65.73%,86.87%,51.66%,73.52%,74.54%,6,0.857,0.08,7,0.817,10,1,66,0.00%
"FMC MOBILE",012507,-,"2620 OLD SHELL RD",MOBILE,AL,36607,8,3.21%,52.25%,6,98.94%,0.44%,0.359,10,64.92%,59.42%,82.40%,57.17%,60.92%,60.57%,8,0.768,0.231,7,0.862,10,3,70,0.00%
"FMC MONROEVILLE (WHETSTONE)",012540,-,"676 S ALABAMA AVE",MONROEVILLE,AL,36460,8,7.12%,56.57%,5,95.26%,1.24%,0.233,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.786,0.718,7,0.857,10,3,64,0.00%
"FMC MONTCLAIR",012536,-,"7780 LUDINGTON LANE",BIRMINGHAM,AL,35210,8,3.17%,48.60%,5,98.10%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.857,2.54,1,1.207,10,6,57,0.00%
"FMC MONTEVALLO",012639,-,"3883 HIGHWAY 25",MONTEVALLO,AL,35115,8,16.62%,44.85%,2,97.81%,0.00%,0.31,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.5,0.782,9,0.759,10,4,76,0.00%
"FMC - MONTGOMERY",492595,-,"106 SOUTHPARK DR SW - STE A",BLACKSBURG,VA,24060,5,12.43%,67.81%,6,99.07%,0.45%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.174,0.23,5,0.977,10,10,71,0.00%
"FMC MOODY PARK DIALYSIS",672629,-,"2920 FULTON STREET",HOUSTON,TX,77009,14,13.09%,64.71%,5,99.52%,0.24%,0.49,10,72.98%,67.16%,87.86%,72.50%,72.53%,82.17%,7,0.801,0.345,3,1.108,10,8,72,0.00%
"FMC MORA DIALYSIS CENTER",242546,-,"900 FOREST AVE E",MORA,MN,55051,11,4.57%,78.00%,10,98.64%,0.00%,0.993,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.699,0.435,6,0.877,10,6,78,0.00%
"FMC - MOREHEAD",182509,-,"250 NORMAN WELLS LANE",MOREHEAD,KY,40351,9,16.34%,61.37%,3,96.34%,0.16%,0.691,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.301,2.036,3,1.108,10,7,40,1.00%
"FMC-Moreno Valley",552805,-,"27420 IRIS AVENUE","MORENO VALLEY",CA,92555,18,13.15%,65.91%,5,98.63%,1.02%,0.449,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.312,1.93,0,1.554,10,6,42,1.00%
"FMC - MORGAN COUNTY",152553,-,"2084 HOSPITAL DRIVE",MARTINSVILLE,IN,46151,9,13.38%,64.25%,5,98.86%,0.23%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.906,0.2,7,0.84,10,7,79,0.00%
"FMC MORRISTOWN",442618,-,"420 W. MORRIS BLVD., STE 110",MORRISTOWN,TN,37813,8,18.90%,64.22%,3,98.69%,1.14%,1.505,10,73.78%,67.38%,82.33%,69.84%,82.37%,88.84%,4,1.013,1.616,5,0.983,10,0,49,0.50%
"FMC MOSES LAKE DIALYSIS UNIT",502529,-,"847 A EAST BROADWAY AVE","MOSES LAKE",WA,98837,16,15.83%,58.00%,3,93.04%,1.10%,0.542,10,63.24%,46.07%,82.40%,48.87%,35.64%,45.72%,8,0.706,0.152,10,0.65,10,0,57,0.00%
"FMC MOUNTAIN CITY",442621,-,"120 PIONEER VILLAGE DRIVE #15","MOUNTAIN CITY",TN,37683,8,9.02%,83.93%,9,98.41%,1.57%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.657,"No Rate",5,0.935,10,7,78,0.00%
"FMC - Mountain Grove",262584,-,"1200 N MAIN  SUITE #2","MOUNTAIN GROVE",MO,65711,12,14.16%,57.08%,4,99.03%,0.43%,2.039,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.883,0.479,7,0.855,10,9,65,0.00%
"FMC - MOUNT PROSPECT",142843,-,"1710 WEST GOLF ROAD","Mount Prospect",IL,60056,10,6.13%,70.85%,9,94.10%,0.33%,0.791,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.617,0,4,1.003,10,7,73,0.00%
"FMC - MT. CARMEL EAST",362657,-,"85 MCNAUGHTEN RD., SUITE 140",COLUMBUS,OH,43213,9,16.18%,59.55%,3,98.33%,0.44%,0.795,10,64.92%,66.12%,83.09%,70.67%,81.53%,90.11%,5,0.925,0.942,3,1.074,10,7,58,0.00%
"FMC - MT. CARMEL WEST",362648,-,"745 WEST STATE ST SUITE 660",COLUMBUS,OH,43222,9,15.20%,70.88%,6,93.94%,1.27%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.312,0.732,4,1.048,10,7,53,0.50%
"FMC MT MORIAH DIALYSIS",442702,-,"6490 MT MORIAH - SUITE 102",MEMPHIS,TN,38115,8,21.53%,65.03%,3,95.49%,0.10%,0.582,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.06,0.499,3,1.1,10,0,49,0.50%
"FMC - MT. STERLING",182555,-,"55 STERLING WAY","MOUNT STERLING",KY,40353,9,6.89%,63.86%,7,98.03%,0.36%,0,10,67.12%,77.29%,88.06%,51.62%,85.60%,96.78%,4,0.987,0.512,9,0.729,10,3,75,0.00%
"FMC - MUNCIE DIALYSIS",152634,-,"4021 WEST KILGORE AVE.",MUNCIE,IN,47304,9,18.19%,71.75%,5,98.77%,0.11%,0,10,70.37%,73.14%,81.13%,58.28%,62.93%,70.93%,6,0.861,0.672,4,1.047,10,8,69,0.00%
"FMC - MUNDELEIN",142731,-,"1402 TOWNLINE ROAD",MUNDELEIN,IL,60060,10,11.02%,70.99%,7,99.39%,0.85%,0.225,10,74.78%,72.37%,84.79%,72.04%,74.15%,77.22%,1,1.243,0.403,8,0.791,10,3,69,0.00%
"FMC - Muscatine",162553,-,"311 PARHAM ST",MUSCATINE,IA,52761,12,12.22%,66.23%,6,98.33%,0.00%,1.113,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.722,"No Rate",10,0.66,10,9,81,0.00%
"FMC MUSCOGEE COUNTY",112676,-,"1851 MANCHESTER EXPRESSWAY",COLUMBUS,GA,31904,6,12.56%,57.40%,4,93.52%,1.24%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.933,1.954,7,0.853,10,0,51,0.50%
"FMCNA - ABBEVILLE",192560,-,"904 N JOHN HARDY DR",ABBEVILLE,LA,70510,13,11.11%,58.58%,5,98.55%,0.00%,0.473,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.806,1.299,4,1.043,10,9,67,0.00%
"FMCNA - ADA DIALYSIS CTR",372573,-,"324 NW J.A. RICHARDSON LOOP",ADA,OK,74820,13,4.52%,67.73%,9,99.86%,1.40%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.639,0.631,10,0.519,10,8,90,0.00%
"FMCNA - AIRLINE",192610,-,"5948 AIRLINE HWY","BATON ROUGE",LA,70805,13,1.85%,79.10%,10,99.36%,0.09%,1.288,10,75.76%,63.05%,81.25%,60.67%,60.00%,53.60%,8,0.749,1.159,4,1.041,10,4,64,0.00%
"FMCNA - ALEXANDRIA",192503,-,"225 N BOLTON AVE",ALEXANDRIA,LA,71301,13,16.14%,58.18%,3,97.06%,0.43%,0.412,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.745,1.112,3,1.083,10,1,55,0.50%
"FMCNA - AMITE",192557,-,"207 W MULBERRY",AMITE,LA,70422,13,7.98%,63.93%,7,96.99%,0.84%,0,10,82.74%,67.60%,78.03%,68.63%,66.32%,87.33%,0,1.402,0.935,0,1.278,10,0,48,0.50%
"FMCNA - ASCENSION",192644,-,"17392 VALLEE CT",PRAIRIEVILLE,LA,70769,13,6.99%,65.56%,8,99.73%,0.00%,0.41,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.77,0.753,7,0.807,10,10,82,0.00%
"FMCNA - BAILEY DIALYSIS CENTER",372587,-,"10205 N 110TH E AVE",OWASSO,OK,74055,13,15.42%,73.11%,6,98.00%,0.25%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.28,1.39,4,1.016,10,1,52,0.50%
"FMCNA - BAKER",192539,-,"4353 GROOM RD",BAKER,LA,70714,13,5.04%,67.01%,8,99.04%,1.04%,0.511,10,66.81%,58.72%,65.72%,47.60%,55.47%,60.20%,10,0.381,0.732,8,0.798,10,0,68,0.00%
"FMCNA - BARATARIA",192697,-,"1849 BARATARIA BLVD STE A",MARRERO,LA,70072,13,9.70%,50.50%,4,98.65%,0.39%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.474,0.431,6,0.874,10,4,78,0.00%
"FMCNA - BATON ROUGE",192501,-,"524 COLONIAL DR","BATON ROUGE",LA,70806,13,3.10%,81.19%,10,96.22%,0.48%,0.502,10,73.51%,69.62%,78.96%,62.84%,63.49%,76.56%,7,0.805,0.25,9,0.715,10,0,72,0.00%
"FMCNA - BENTON",042556,-,"2101 CONGO RD",BENTON,AR,72015,13,9.84%,57.94%,5,98.33%,0.56%,0.263,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.501,0.928,1,1.19,10,7,51,0.50%
"FMCNA - BOSSIER REGIONAL DX CTR",192532,-,"2907 PLANTATION DR","BOSSIER CITY",LA,71111,13,21.58%,60.16%,2,95.61%,0.73%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.936,0.845,2,1.141,10,3,52,0.50%
"FMCNA - BREAUX BRIDGE",192643,-,"100 CHAMPAGNE BLVD BLDG A","BREAUX BRIDGE",LA,70517,13,15.93%,52.70%,2,95.95%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.761,1.138,10,0.634,10,2,69,0.00%
"FMCNA - BUNKIE",192555,-,"102 STANDARD ST",BUNKIE,LA,71322,13,7.95%,64.09%,7,97.65%,0.59%,2.735,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.052,1.102,8,0.767,10,5,58,0.00%
"FMCNA - CALDWELL PARISH",192623,-,"7720 HWY 165 STE 3",COLUMBIA,LA,71418,13,12.41%,54.92%,4,99.25%,0.37%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.339,0.286,1,1.192,10,8,59,0.00%
"FMCNA CARTERSVILLE",112591,-,"14 ROVING ROAD SE",CARTERSVILLE,GA,30121,6,5.35%,71.68%,9,98.56%,0.00%,0.771,10,77.39%,53.65%,75.10%,76.93%,62.44%,68.65%,5,0.98,0.914,5,0.936,10,0,61,0.00%
"FMCNA - CENTRAL LAKE CHARLES DX",192704,-,"2309 RYAN ST","LAKE CHARLES",LA,70601,13,17.15%,54.78%,2,96.18%,0.54%,0.641,10,71.56%,57.66%,81.20%,64.92%,52.24%,58.05%,4,1.038,2.536,5,0.97,10,1,42,1.00%
"FMCNA - COUSHATTA",192641,-,"501 WILKINSON ST",COUSHATTA,LA,71019,13,12.73%,66.01%,6,99.10%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.615,1.167,6,0.918,10,5,77,0.00%
"FMCNA - CRESCENT HOME THERAPY",192726,-,"3030 N ARNOULT, STE B",METAIRIE,LA,70002,13,"No Rate","No Rate","No Score",96.25%,0.33%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.738,0,6,0.872,10,"No Score",78,0.00%
"FMCNA - CROWLEY",192538,-,"625 E 8TH ST",CROWLEY,LA,70526,13,11.89%,67.12%,6,95.38%,0.00%,0.564,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.456,1.489,9,0.732,10,8,72,0.00%
"FMCNA - DELHI DIALYSIS CTR",192564,-,"307 DETROIT ST",DELHI,LA,71232,13,2.12%,68.11%,9,99.60%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.855,0.392,10,0.614,10,8,89,0.00%
"FMCNA - DELTA",192573,-,"104 RAILROAD AVE",DELTA,LA,71233,13,13.50%,50.29%,2,95.64%,0.41%,0.652,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.922,2.595,6,0.892,10,1,47,0.50%
"FMCNA - DENHAM SPRINGS",192692,-,"137 VETERANS BLVD","DENHAM SPRINGS",LA,70726,13,8.90%,82.90%,9,99.43%,0.00%,0.329,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.034,1.172,6,0.956,10,3,68,0.00%
"FMCNA - DESOTO DIALYSIS",192605,-,"1410 MCARTHUR DR",MANSFIELD,LA,71052,13,16.43%,53.57%,2,98.43%,0.12%,0.461,10,56.79%,54.99%,76.96%,56.99%,61.27%,58.59%,7,0.781,1.422,8,0.754,10,3,54,0.50%
"FMCNA - DIALYSIS CTR OF SHREVEPORT",192530,-,"3949 SOUTHERN AVE",SHREVEPORT,LA,71106,13,18.65%,54.28%,2,98.53%,0.00%,0.275,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.337,0.993,0,1.258,10,6,47,0.50%
"FMCNA - DIALYSIS SERVICES AVONDALE",192637,-,"141 S JAMIE BLVD",AVONDALE,LA,70094,13,2.08%,54.17%,6,99.28%,0.72%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",5,0.951,"No Rate",8,0.787,10,7,77,0.00%
"FMCNA - DIALYSIS SERVICES-MAMOU",192657,-,"801 POINCIANA AVE",MAMOU,LA,70554,13,12.54%,54.23%,3,99.34%,1.29%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.062,2.68,2,1.134,10,8,52,0.50%
"FMCNA - DIALYSIS SERVICES OF BON CARRE",192671,-,"7656 REALTORS AVE","BATON ROUGE",LA,70806,13,4.65%,73.18%,10,98.96%,0.00%,0.314,10,59.46%,59.32%,71.31%,31.52%,35.75%,43.43%,4,1.017,0.525,10,0.658,10,7,72,0.00%
"FMCNA DIALYSIS SERVICES OF CHATTAHOOCHEE VALLEY",112734,-,"2042 WYNNTON ROAD",COLUMBUS,GA,31906,6,11.80%,55.52%,4,89.95%,0.28%,0.384,10,66.42%,45.95%,66.42%,57.97%,37.17%,41.24%,10,0.617,0.715,7,0.818,9,0,56,0.00%
"FMCNA DIALYSIS SERVICES OF DECATUR",112781,-,"2721 IRWIN WAY",DECATUR,GA,30030,6,7.60%,68.00%,8,93.28%,0.20%,0.437,10,69.64%,52.91%,67.22%,57.07%,42.32%,51.24%,6,0.895,0.434,9,0.675,10,0,60,0.00%
"FMCNA - DONALDSONVILLE DIALYSIS",192572,-,"101 PLIMSOL DR",DONALDSONVILLE,LA,70346,13,4.29%,61.26%,7,96.86%,1.05%,0.263,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.586,0.598,8,0.736,10,0,74,0.00%
